item_name,value,rarity
Deadman's Cock Ring,200,Exotic
Ed's Jar of Farts,50,Rare
Eli's Ass,50,Rare
Vigo's Salty Jar of Piss,75,Rare
Potato Salad,5,Common
Spaghetti Whistle,10,Common
Sock with Holes,15,Common
Broken Toaster,20,Common
Left-handed Scissors,25,Uncommon
Rubber Chicken,30,Uncommon
Invisible Ink Pen,35,Uncommon
Square Watermelon,40,Uncommon
Banana Phone,45,Uncommon
Square Pizza,60,Rare
Air Guitar,65,Rare
One-ply Toilet Paper,90,Rare
Left-handed Hammer,110,Very Rare
Flamingo Croquet Set,140,Very Rare
Twisted Pretzel Straw,155,Very Rare
One-sided Dice,190,Very Rare
Bluetooth Toaster,195,Very Rare
Fluffy Rocking Chair,200,Exotic
Portable Hole,220,Exotic
Bubble Wrap Wallpaper,240,Exotic
Glow-in-the-dark Sunglasses,270,Exotic
Pre-chewed Gum,315,Legendary
Spaghetti in a Can,330,Legendary
One-sided Coin,480,Legendary
Banana-themed Banana Stand,495,Legendary
Invisible Cloak,500,Legendary